Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,177.0,185.0,177.0,182.0,182.0,5731300
2021-03-02,182.0,184.0,179.0,180.0,180.0,14384800
2021-03-03,183.0,185.0,179.0,182.0,182.0,7450600
2021-03-04,182.0,190.0,179.0,183.0,183.0,11643300
2021-03-05,183.0,185.0,180.0,182.0,182.0,6663200
2021-03-08,182.0,183.0,176.0,179.0,179.0,8241400
2021-03-09,180.0,181.0,173.0,173.0,173.0,4913500
2021-03-10,176.0,176.0,170.0,173.0,173.0,2738400
2021-03-12,174.0,176.0,170.0,170.0,170.0,5196400
2021-03-15,170.0,173.0,168.0,172.0,172.0,2325800
2021-03-16,172.0,172.0,169.0,171.0,171.0,1796500
2021-03-17,171.0,175.0,168.0,170.0,170.0,11125300
2021-03-18,172.0,174.0,170.0,171.0,171.0,2528600
2021-03-19,175.0,175.0,171.0,173.0,173.0,4020600
2021-03-22,174.0,175.0,170.0,172.0,172.0,5139700
2021-03-23,172.0,174.0,169.0,171.0,171.0,6311800
2021-03-24,170.0,173.0,167.0,169.0,169.0,4549100
2021-03-25,169.0,172.0,166.0,167.0,167.0,5260400
2021-03-26,167.0,170.0,160.0,169.0,169.0,9858100
2021-03-29,169.0,172.0,166.0,167.0,167.0,3942000
2021-03-30,167.0,170.0,162.0,166.0,166.0,3799500
2021-03-31,166.0,166.0,159.0,160.0,160.0,2259700
2021-04-01,161.0,163.0,157.0,160.0,160.0,3672000
2021-04-05,160.0,162.0,157.0,161.0,161.0,1628800
2021-04-06,161.0,169.0,156.0,169.0,169.0,7099400
2021-04-07,170.0,171.0,167.0,168.0,168.0,1078400
2021-04-08,168.0,178.0,166.0,175.0,175.0,5231600
2021-04-09,170.0,179.0,170.0,177.0,177.0,2288300
2021-04-12,177.0,184.0,176.0,176.0,176.0,4254100
2021-04-14,172.0,179.0,172.0,177.0,177.0,2093900
