Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,106.0,108.0,105.0,105.0,105.0,9769700
2021-03-02,105.0,106.0,102.0,103.0,103.0,6746200
2021-03-03,103.0,105.0,102.0,102.0,102.0,6318100
2021-03-04,103.0,107.0,103.0,107.0,107.0,8896700
2021-03-05,107.0,120.0,104.0,106.0,106.0,9961500
2021-03-08,106.0,115.0,105.0,106.0,106.0,7343200
2021-03-09,106.0,111.0,106.0,108.0,108.0,6815900
2021-03-10,115.0,117.0,108.0,114.0,114.0,7401500
2021-03-12,116.0,117.0,112.0,112.0,112.0,6327000
2021-03-15,112.0,114.0,107.0,107.0,107.0,6515800
2021-03-16,107.0,109.0,104.0,107.0,107.0,4193000
2021-03-17,107.0,108.0,105.0,105.0,105.0,5351600
2021-03-18,105.0,109.0,104.0,105.0,105.0,3208500
2021-03-19,105.0,106.0,104.0,105.0,105.0,3830300
2021-03-22,105.0,106.0,103.0,104.0,104.0,5334400
2021-03-23,104.0,105.0,103.0,105.0,105.0,3153800
2021-03-24,105.0,106.0,103.0,104.0,104.0,4129800
2021-03-25,104.0,105.0,103.0,103.0,103.0,3123900
2021-03-26,104.0,105.0,102.0,104.0,104.0,5587900
2021-03-29,104.0,108.0,104.0,105.0,105.0,3993100
2021-03-30,105.0,106.0,104.0,104.0,104.0,5594900
2021-03-31,104.0,105.0,102.0,103.0,103.0,3576600
2021-04-01,105.0,105.0,103.0,103.0,103.0,3308700
2021-04-05,103.0,104.0,102.0,102.0,102.0,3129100
2021-04-06,103.0,106.0,103.0,105.0,105.0,5782900
2021-04-07,107.0,107.0,103.0,104.0,104.0,3223400
2021-04-08,104.0,104.0,102.0,104.0,104.0,4977800
2021-04-09,104.0,106.0,102.0,104.0,104.0,5395400
2021-04-12,105.0,105.0,102.0,103.0,103.0,3369300
2021-04-14,104.0,104.0,103.0,104.0,104.0,3579400
