Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,428.0,428.0,420.0,420.0,420.0,241900
2021-03-02,418.0,418.0,416.0,418.0,418.0,1449000
2021-03-03,418.0,418.0,418.0,418.0,418.0,1600
2021-03-04,418.0,418.0,418.0,418.0,418.0,100
2021-03-05,420.0,420.0,420.0,420.0,420.0,110000
2021-03-08,420.0,420.0,420.0,420.0,420.0,76400
2021-03-09,420.0,420.0,420.0,420.0,420.0,200
2021-03-10,420.0,426.0,420.0,426.0,426.0,17000
2021-03-12,420.0,420.0,420.0,420.0,420.0,123800
2021-03-15,420.0,420.0,420.0,420.0,420.0,140200
2021-03-16,420.0,424.0,420.0,424.0,424.0,76500
2021-03-17,422.0,422.0,420.0,420.0,420.0,44800
2021-03-18,430.0,430.0,430.0,430.0,430.0,100
2021-03-19,430.0,430.0,420.0,420.0,420.0,42800
2021-03-22,420.0,420.0,420.0,420.0,420.0,10100
2021-03-23,420.0,422.0,420.0,422.0,422.0,42500
2021-03-24,420.0,420.0,420.0,420.0,420.0,100000
2021-03-25,420.0,424.0,420.0,424.0,424.0,115700
2021-03-26,424.0,424.0,420.0,420.0,420.0,400
2021-03-29,420.0,422.0,420.0,420.0,420.0,17100
2021-03-30,420.0,420.0,420.0,420.0,420.0,100
2021-03-31,420.0,420.0,420.0,420.0,420.0,0
2021-04-01,420.0,420.0,420.0,420.0,420.0,20900
2021-04-05,420.0,420.0,420.0,420.0,420.0,200
2021-04-06,424.0,424.0,424.0,424.0,424.0,100
2021-04-07,424.0,424.0,420.0,420.0,420.0,200
2021-04-08,420.0,428.0,420.0,428.0,428.0,3300
2021-04-09,430.0,430.0,428.0,428.0,428.0,300
2021-04-12,430.0,430.0,426.0,426.0,426.0,15400
2021-04-14,430.0,430.0,430.0,430.0,430.0,500
