Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,236.0,254.0,222.0,222.0,222.0,23529300
2021-03-02,218.0,222.0,208.0,216.0,216.0,3406200
2021-03-03,216.0,256.0,202.0,202.0,202.0,53864700
2021-03-04,188.0,188.0,188.0,188.0,188.0,2067100
2021-03-05,187.0,188.0,175.0,175.0,175.0,474600
2021-03-08,163.0,174.0,163.0,167.0,167.0,10847400
2021-03-09,167.0,181.0,167.0,169.0,169.0,18622500
2021-03-10,169.0,173.0,166.0,166.0,166.0,7288200
2021-03-12,167.0,173.0,163.0,170.0,170.0,4779200
2021-03-15,171.0,176.0,163.0,165.0,165.0,10235000
2021-03-16,165.0,173.0,162.0,169.0,169.0,8930700
2021-03-17,170.0,200.0,166.0,200.0,200.0,62236500
2021-03-18,204.0,204.0,186.0,186.0,186.0,5653700
2021-03-19,173.0,175.0,173.0,173.0,173.0,860600
2021-03-22,164.0,173.0,161.0,172.0,172.0,13153300
2021-03-23,170.0,171.0,164.0,164.0,164.0,4636400
2021-03-24,164.0,185.0,163.0,180.0,180.0,46381100
2021-03-25,182.0,182.0,174.0,178.0,178.0,15124100
2021-03-26,178.0,199.0,175.0,199.0,199.0,50618500
2021-03-29,200.0,220.0,194.0,218.0,218.0,73518900
2021-03-30,222.0,222.0,208.0,210.0,210.0,11661800
2021-03-31,210.0,220.0,208.0,210.0,210.0,7433500
2021-04-01,210.0,216.0,208.0,210.0,210.0,4704700
2021-04-05,212.0,234.0,204.0,214.0,214.0,62428300
2021-04-06,216.0,218.0,200.0,200.0,200.0,28455600
2021-04-07,186.0,186.0,186.0,186.0,186.0,5155300
2021-04-08,173.0,190.0,173.0,173.0,173.0,110409700
2021-04-09,173.0,174.0,161.0,161.0,161.0,142337000
2021-04-12,163.0,164.0,150.0,150.0,150.0,76907300
2021-04-14,131.0,138.0,131.0,131.0,131.0,39479400
