Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1470.0,1485.0,1455.0,1480.0,1480.0,506400
2021-03-02,1480.0,1505.0,1470.0,1485.0,1485.0,576800
2021-03-03,1495.0,1500.0,1450.0,1465.0,1465.0,603100
2021-03-04,1465.0,1470.0,1425.0,1450.0,1450.0,1039100
2021-03-05,1450.0,1470.0,1440.0,1455.0,1455.0,421600
2021-03-08,1455.0,1470.0,1450.0,1455.0,1455.0,427700
2021-03-09,1460.0,1470.0,1435.0,1450.0,1450.0,836300
2021-03-10,1450.0,1470.0,1450.0,1455.0,1455.0,432000
2021-03-12,1455.0,1470.0,1450.0,1465.0,1465.0,784800
2021-03-15,1475.0,1510.0,1465.0,1505.0,1505.0,1217800
2021-03-16,1515.0,1515.0,1480.0,1480.0,1480.0,655200
2021-03-17,1485.0,1495.0,1470.0,1480.0,1480.0,386000
2021-03-18,1480.0,1500.0,1475.0,1475.0,1475.0,431000
2021-03-19,1490.0,1490.0,1470.0,1470.0,1470.0,479500
2021-03-22,1470.0,1490.0,1465.0,1475.0,1475.0,355700
2021-03-23,1475.0,1475.0,1460.0,1460.0,1460.0,774300
2021-03-24,1460.0,1475.0,1440.0,1465.0,1465.0,1046400
2021-03-25,1465.0,1465.0,1440.0,1455.0,1455.0,830600
2021-03-26,1455.0,1465.0,1445.0,1460.0,1460.0,471200
2021-03-29,1460.0,1465.0,1445.0,1460.0,1460.0,407400
2021-03-30,1460.0,1460.0,1440.0,1455.0,1455.0,355000
2021-03-31,1470.0,1515.0,1455.0,1480.0,1480.0,7116300
2021-04-01,1480.0,1550.0,1475.0,1520.0,1520.0,5710200
2021-04-05,1525.0,1570.0,1525.0,1555.0,1555.0,5988000
2021-04-06,1580.0,1580.0,1535.0,1550.0,1550.0,2600800
2021-04-07,1555.0,1565.0,1535.0,1550.0,1550.0,1984600
2021-04-08,1595.0,1595.0,1550.0,1560.0,1560.0,1409200
2021-04-09,1560.0,1655.0,1555.0,1605.0,1605.0,12145700
2021-04-12,1605.0,1610.0,1555.0,1565.0,1565.0,6436500
2021-04-14,1545.0,1580.0,1535.0,1560.0,1560.0,2181700
