Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,4800.0,4810.0,4800.0,4810.0,4810.0,1400
2021-03-02,4810.0,4810.0,4810.0,4810.0,4810.0,0
2021-03-03,4810.0,4810.0,4810.0,4810.0,4810.0,0
2021-03-04,4810.0,4830.0,4810.0,4830.0,4830.0,200
2021-03-05,4830.0,4830.0,4830.0,4830.0,4830.0,100
2021-03-08,4900.0,5200.0,4850.0,5050.0,5050.0,3400
2021-03-09,5225.0,5225.0,4960.0,4990.0,4990.0,6100
2021-03-10,4990.0,5000.0,4990.0,5000.0,5000.0,1200
2021-03-12,5000.0,5200.0,5000.0,5200.0,5200.0,6200
2021-03-15,5200.0,5200.0,5200.0,5200.0,5200.0,5300
2021-03-16,5200.0,5200.0,5000.0,5000.0,5000.0,500
2021-03-17,5025.0,5200.0,5000.0,5200.0,5200.0,2200
2021-03-18,5200.0,5200.0,5025.0,5200.0,5200.0,2300
2021-03-19,5200.0,5200.0,5100.0,5200.0,5200.0,1100
2021-03-22,5200.0,5225.0,5200.0,5225.0,5225.0,2600
2021-03-23,5250.0,5875.0,5250.0,5300.0,5300.0,7300
2021-03-24,5300.0,5500.0,5300.0,5475.0,5475.0,1300
2021-03-25,5300.0,5400.0,5100.0,5200.0,5200.0,2200
2021-03-26,5200.0,5200.0,5200.0,5200.0,5200.0,400
2021-03-29,5400.0,5400.0,5200.0,5225.0,5225.0,7100
2021-03-30,5100.0,5125.0,5100.0,5125.0,5125.0,300
2021-03-31,5050.0,5050.0,4850.0,4930.0,4930.0,2600
2021-04-01,4940.0,4980.0,4940.0,4980.0,4980.0,400
2021-04-05,4980.0,4980.0,4980.0,4980.0,4980.0,10300
2021-04-06,4980.0,5100.0,4980.0,5100.0,5100.0,2800
2021-04-07,5100.0,6100.0,5100.0,6100.0,6100.0,122200
2021-04-08,6250.0,7300.0,6250.0,7300.0,7300.0,54700
2021-04-09,7300.0,8500.0,7300.0,8275.0,8275.0,53700
2021-04-12,8300.0,8350.0,7700.0,7800.0,7800.0,10400
2021-04-14,7550.0,7700.0,7025.0,7175.0,7175.0,21400
