Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,7000.0,7000.0,6800.0,6825.0,6825.0,13054100
2021-03-02,6825.0,6850.0,6725.0,6825.0,6825.0,17348900
2021-03-03,6825.0,6900.0,6775.0,6875.0,6875.0,8276700
2021-03-04,6875.0,6875.0,6725.0,6725.0,6725.0,10778200
2021-03-05,6700.0,6750.0,6675.0,6725.0,6725.0,6029300
2021-03-08,6800.0,6800.0,6625.0,6650.0,6650.0,10141900
2021-03-09,6700.0,6700.0,6475.0,6550.0,6550.0,18687300
2021-03-10,6575.0,6625.0,6525.0,6575.0,6575.0,6458000
2021-03-12,6575.0,6700.0,6575.0,6700.0,6700.0,6978300
2021-03-15,6700.0,6725.0,6575.0,6575.0,6575.0,12546500
2021-03-16,6575.0,6650.0,6525.0,6550.0,6550.0,12107300
2021-03-17,6550.0,6600.0,6475.0,6475.0,6475.0,10231700
2021-03-18,6500.0,6600.0,6500.0,6600.0,6600.0,12740200
2021-03-19,6600.0,6750.0,6525.0,6750.0,6750.0,24004400
2021-03-22,6750.0,6775.0,6675.0,6700.0,6700.0,6044900
2021-03-23,6675.0,6800.0,6675.0,6750.0,6750.0,8836500
2021-03-24,6725.0,6750.0,6550.0,6575.0,6575.0,11037200
2021-03-25,6600.0,6650.0,6500.0,6650.0,6650.0,10704500
2021-03-26,6650.0,6700.0,6600.0,6600.0,6600.0,5548000
2021-03-29,6600.0,6775.0,6575.0,6725.0,6725.0,11959200
2021-03-30,6700.0,6725.0,6525.0,6550.0,6550.0,14708700
2021-03-31,6600.0,6600.0,6450.0,6575.0,6575.0,14361800
2021-04-01,6575.0,6700.0,6525.0,6625.0,6625.0,9105000
2021-04-05,6625.0,6625.0,6475.0,6475.0,6475.0,5799200
2021-04-06,6500.0,6525.0,6450.0,6475.0,6475.0,5009900
2021-04-07,6475.0,6550.0,6450.0,6525.0,6525.0,5096500
2021-04-08,6525.0,6800.0,6525.0,6600.0,6600.0,10879400
2021-04-09,6600.0,6625.0,6475.0,6475.0,6475.0,9479200
2021-04-12,6500.0,6550.0,6300.0,6325.0,6325.0,15823700
2021-04-14,6250.0,6325.0,6225.0,6300.0,6300.0,5450700
