Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,72.0,72.0,67.0,68.0,68.0,26800
2021-03-02,72.0,72.0,68.0,68.0,68.0,12300
2021-03-03,68.0,71.0,68.0,70.0,70.0,49400
2021-03-04,72.0,72.0,69.0,69.0,69.0,4400
2021-03-05,69.0,79.0,69.0,72.0,72.0,27700
2021-03-08,72.0,88.0,68.0,88.0,88.0,113700
2021-03-09,97.0,97.0,82.0,82.0,82.0,579700
2021-03-10,78.0,78.0,77.0,77.0,77.0,7800
2021-03-12,72.0,72.0,72.0,72.0,72.0,16900
2021-03-15,67.0,75.0,67.0,72.0,72.0,276500
2021-03-16,72.0,72.0,69.0,72.0,72.0,19700
2021-03-17,72.0,82.0,70.0,78.0,78.0,104600
2021-03-18,78.0,78.0,73.0,76.0,76.0,79700
2021-03-19,76.0,85.0,71.0,85.0,85.0,92800
2021-03-22,85.0,92.0,80.0,84.0,84.0,579000
2021-03-23,80.0,88.0,79.0,86.0,86.0,82900
2021-03-24,85.0,85.0,81.0,81.0,81.0,4400
2021-03-25,85.0,100.0,76.0,77.0,77.0,509900
2021-03-26,74.0,80.0,74.0,79.0,79.0,7100
2021-03-29,79.0,79.0,75.0,77.0,77.0,29800
2021-03-30,75.0,82.0,75.0,78.0,78.0,13600
2021-03-31,81.0,81.0,79.0,79.0,79.0,16200
2021-04-01,75.0,79.0,74.0,79.0,79.0,16300
2021-04-05,79.0,79.0,75.0,75.0,75.0,39100
2021-04-06,78.0,78.0,74.0,74.0,74.0,40700
2021-04-07,74.0,77.0,74.0,75.0,75.0,2600
2021-04-08,79.0,79.0,70.0,73.0,73.0,76100
2021-04-09,73.0,75.0,73.0,75.0,75.0,4600
2021-04-12,75.0,76.0,75.0,76.0,76.0,9600
2021-04-14,76.0,79.0,72.0,79.0,79.0,31800
