Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,57.0,58.0,57.0,58.0,58.0,393100
2021-03-02,58.0,59.0,56.0,58.0,58.0,274600
2021-03-03,58.0,58.0,56.0,58.0,58.0,386000
2021-03-04,58.0,58.0,55.0,56.0,56.0,359500
2021-03-05,56.0,57.0,55.0,56.0,56.0,353700
2021-03-08,56.0,63.0,56.0,63.0,63.0,791300
2021-03-09,63.0,65.0,59.0,59.0,59.0,922600
2021-03-10,59.0,59.0,56.0,58.0,58.0,503500
2021-03-12,58.0,58.0,55.0,57.0,57.0,470400
2021-03-15,57.0,58.0,56.0,56.0,56.0,173900
2021-03-16,56.0,74.0,56.0,72.0,72.0,14851500
2021-03-17,72.0,76.0,67.0,67.0,67.0,6960600
2021-03-18,67.0,69.0,63.0,67.0,67.0,2562700
2021-03-19,67.0,69.0,65.0,65.0,65.0,653300
2021-03-22,65.0,86.0,63.0,73.0,73.0,22957000
2021-03-23,73.0,74.0,68.0,68.0,68.0,3938700
2021-03-24,66.0,70.0,65.0,70.0,70.0,1385400
2021-03-25,70.0,72.0,68.0,69.0,69.0,795700
2021-03-26,69.0,72.0,67.0,70.0,70.0,1200600
2021-03-29,70.0,73.0,68.0,72.0,72.0,1287700
2021-03-30,72.0,72.0,68.0,68.0,68.0,667000
2021-03-31,68.0,87.0,68.0,72.0,72.0,33999600
2021-04-01,79.0,87.0,72.0,73.0,73.0,29454000
2021-04-05,73.0,78.0,72.0,74.0,74.0,10333700
2021-04-06,74.0,76.0,72.0,75.0,75.0,2697300
2021-04-07,75.0,83.0,73.0,80.0,80.0,28480200
2021-04-08,80.0,96.0,80.0,96.0,96.0,44160300
2021-04-09,97.0,98.0,90.0,90.0,90.0,18630600
2021-04-12,90.0,94.0,84.0,91.0,91.0,31160100
2021-04-14,94.0,102.0,92.0,97.0,97.0,45547100
