Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1775.0,1875.0,1745.0,1855.0,1855.0,66130400
2021-03-02,1875.0,1890.0,1825.0,1825.0,1825.0,27909300
2021-03-03,1830.0,1845.0,1780.0,1785.0,1785.0,15841100
2021-03-04,1730.0,1780.0,1705.0,1745.0,1745.0,42845300
2021-03-05,1720.0,1755.0,1710.0,1725.0,1725.0,18190000
2021-03-08,1760.0,1770.0,1705.0,1715.0,1715.0,19074500
2021-03-09,1720.0,1760.0,1700.0,1710.0,1710.0,23711400
2021-03-10,1710.0,1725.0,1630.0,1650.0,1650.0,43252000
2021-03-12,1650.0,1705.0,1630.0,1640.0,1640.0,65957800
2021-03-15,1650.0,1695.0,1645.0,1675.0,1675.0,31643500
2021-03-16,1685.0,1710.0,1660.0,1675.0,1675.0,26519800
2021-03-17,1700.0,1750.0,1690.0,1735.0,1735.0,55361600
2021-03-18,1750.0,1760.0,1715.0,1715.0,1715.0,25693500
2021-03-19,1705.0,1710.0,1660.0,1665.0,1665.0,31422000
2021-03-22,1665.0,1685.0,1655.0,1655.0,1655.0,11493100
2021-03-23,1655.0,1670.0,1610.0,1615.0,1615.0,22494100
2021-03-24,1615.0,1660.0,1585.0,1590.0,1590.0,28534900
2021-03-25,1590.0,1625.0,1560.0,1590.0,1590.0,30946900
2021-03-26,1605.0,1620.0,1580.0,1615.0,1615.0,20442400
2021-03-29,1630.0,1640.0,1555.0,1580.0,1580.0,26414700
2021-03-30,1570.0,1585.0,1505.0,1540.0,1540.0,32911300
2021-03-31,1540.0,1585.0,1505.0,1535.0,1535.0,38984000
2021-04-01,1535.0,1570.0,1505.0,1535.0,1535.0,21858000
2021-04-05,1540.0,1545.0,1430.0,1430.0,1430.0,42677900
2021-04-06,1400.0,1480.0,1345.0,1475.0,1475.0,85323900
2021-04-07,1480.0,1485.0,1400.0,1460.0,1460.0,39624800
2021-04-08,1465.0,1490.0,1435.0,1480.0,1480.0,21063500
2021-04-09,1485.0,1530.0,1465.0,1470.0,1470.0,28178500
2021-04-12,1480.0,1485.0,1370.0,1370.0,1370.0,26677600
2021-04-14,1385.0,1455.0,1385.0,1430.0,1430.0,18132400
