Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,101.0,102.0,100.0,101.0,101.0,5706400
2021-03-02,102.0,102.0,99.0,100.0,100.0,3928500
2021-03-03,100.0,101.0,99.0,100.0,100.0,3014400
2021-03-04,100.0,100.0,99.0,100.0,100.0,654000
2021-03-05,100.0,100.0,99.0,100.0,100.0,3634800
2021-03-08,100.0,106.0,100.0,103.0,103.0,6318800
2021-03-09,104.0,104.0,100.0,101.0,101.0,1523500
2021-03-10,101.0,102.0,97.0,99.0,99.0,4312800
2021-03-12,99.0,100.0,97.0,98.0,98.0,3747500
2021-03-15,98.0,100.0,96.0,97.0,97.0,7747900
2021-03-16,99.0,101.0,97.0,98.0,98.0,9399700
2021-03-17,98.0,100.0,97.0,98.0,98.0,7243300
2021-03-18,99.0,102.0,98.0,99.0,99.0,6202100
2021-03-19,99.0,100.0,96.0,99.0,99.0,5473300
2021-03-22,99.0,100.0,97.0,98.0,98.0,4601400
2021-03-23,98.0,104.0,98.0,101.0,101.0,12516400
2021-03-24,102.0,102.0,97.0,98.0,98.0,6256600
2021-03-25,98.0,99.0,97.0,98.0,98.0,1133200
2021-03-26,99.0,99.0,97.0,98.0,98.0,3099300
2021-03-29,98.0,100.0,97.0,98.0,98.0,4162900
2021-03-30,98.0,99.0,96.0,96.0,96.0,1567800
2021-03-31,96.0,97.0,94.0,94.0,94.0,4458200
2021-04-01,94.0,96.0,93.0,93.0,93.0,3765800
2021-04-05,93.0,94.0,91.0,93.0,93.0,10745500
2021-04-06,94.0,95.0,93.0,94.0,94.0,3218700
2021-04-07,96.0,97.0,94.0,95.0,95.0,2995900
2021-04-08,96.0,96.0,95.0,96.0,96.0,3089600
2021-04-09,96.0,98.0,95.0,96.0,96.0,3170300
2021-04-12,96.0,97.0,94.0,95.0,95.0,2191400
2021-04-14,94.0,96.0,93.0,93.0,93.0,1857100
