Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,615.0,620.0,600.0,605.0,605.0,14958600
2021-03-02,610.0,615.0,600.0,610.0,610.0,5851100
2021-03-03,610.0,615.0,600.0,605.0,605.0,6618000
2021-03-04,605.0,605.0,575.0,605.0,605.0,13948100
2021-03-05,595.0,645.0,585.0,615.0,615.0,43886300
2021-03-08,625.0,630.0,600.0,600.0,600.0,10846600
2021-03-09,605.0,610.0,585.0,595.0,595.0,13414300
2021-03-10,595.0,680.0,595.0,660.0,660.0,96887200
2021-03-12,665.0,815.0,660.0,750.0,750.0,177128000
2021-03-15,760.0,790.0,740.0,750.0,750.0,68359000
2021-03-16,750.0,760.0,720.0,750.0,750.0,28305100
2021-03-17,750.0,835.0,750.0,815.0,815.0,80044900
2021-03-18,815.0,870.0,785.0,805.0,805.0,84932500
2021-03-19,810.0,845.0,785.0,830.0,830.0,31988900
2021-03-22,830.0,840.0,795.0,805.0,805.0,21329700
2021-03-23,805.0,820.0,770.0,790.0,790.0,28201500
2021-03-24,780.0,805.0,740.0,760.0,760.0,33101900
2021-03-25,760.0,780.0,730.0,750.0,750.0,35875500
2021-03-26,760.0,770.0,735.0,750.0,750.0,14509100
2021-03-29,760.0,810.0,755.0,770.0,770.0,44637600
2021-03-30,770.0,795.0,750.0,755.0,755.0,18836400
2021-03-31,765.0,770.0,710.0,740.0,740.0,31064100
2021-04-01,740.0,755.0,735.0,750.0,750.0,11839400
2021-04-05,745.0,795.0,745.0,780.0,780.0,28353600
2021-04-06,800.0,845.0,785.0,830.0,830.0,71603500
2021-04-07,835.0,840.0,810.0,820.0,820.0,16941200
2021-04-08,825.0,835.0,810.0,825.0,825.0,12357300
2021-04-09,825.0,835.0,800.0,820.0,820.0,12369800
2021-04-12,820.0,825.0,790.0,800.0,800.0,16909900
2021-04-14,815.0,850.0,810.0,835.0,835.0,37775100
