Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,60.0,61.0,59.0,61.0,61.0,4812100
2021-03-02,60.0,64.0,60.0,61.0,61.0,22303100
2021-03-03,62.0,62.0,59.0,60.0,60.0,9981100
2021-03-04,60.0,61.0,59.0,60.0,60.0,7445000
2021-03-05,60.0,71.0,59.0,70.0,70.0,202382100
2021-03-08,71.0,75.0,66.0,66.0,66.0,134902100
2021-03-09,67.0,68.0,62.0,62.0,62.0,34902500
2021-03-10,62.0,63.0,59.0,60.0,60.0,15682900
2021-03-12,60.0,64.0,60.0,61.0,61.0,20856000
2021-03-15,62.0,65.0,61.0,63.0,63.0,23024100
2021-03-16,64.0,65.0,61.0,63.0,63.0,14863300
2021-03-17,63.0,66.0,62.0,63.0,63.0,38540600
2021-03-18,63.0,65.0,62.0,63.0,63.0,10643400
2021-03-19,63.0,66.0,61.0,63.0,63.0,24681400
2021-03-22,63.0,64.0,61.0,63.0,63.0,6647100
2021-03-23,63.0,65.0,61.0,61.0,61.0,23352300
2021-03-24,62.0,62.0,60.0,61.0,61.0,8407400
2021-03-25,61.0,62.0,58.0,60.0,60.0,10978200
2021-03-26,61.0,61.0,60.0,60.0,60.0,7954800
2021-03-29,61.0,61.0,59.0,60.0,60.0,3680700
2021-03-30,60.0,61.0,58.0,59.0,59.0,8167900
2021-03-31,59.0,60.0,58.0,59.0,59.0,4068400
2021-04-01,59.0,60.0,58.0,60.0,60.0,3027300
2021-04-05,60.0,61.0,57.0,57.0,57.0,19240000
2021-04-06,57.0,59.0,56.0,57.0,57.0,11749900
2021-04-07,58.0,61.0,57.0,59.0,59.0,20197000
2021-04-08,60.0,61.0,59.0,60.0,60.0,11904200
2021-04-09,60.0,61.0,59.0,60.0,60.0,6419500
2021-04-12,60.0,60.0,58.0,59.0,59.0,7096300
2021-04-14,57.0,59.0,57.0,58.0,58.0,4515700
