Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,264.0,268.0,256.0,266.0,266.0,112527800
2021-03-02,268.0,272.0,260.0,262.0,262.0,42427800
2021-03-03,262.0,264.0,256.0,258.0,258.0,39151400
2021-03-04,254.0,260.0,252.0,254.0,254.0,54064700
2021-03-05,252.0,254.0,248.0,250.0,250.0,34950900
2021-03-08,252.0,256.0,246.0,248.0,248.0,46576300
2021-03-09,248.0,254.0,242.0,244.0,244.0,56288700
2021-03-10,244.0,250.0,240.0,242.0,242.0,33504100
2021-03-12,242.0,250.0,242.0,246.0,246.0,41286800
2021-03-15,246.0,252.0,246.0,248.0,248.0,31919500
2021-03-16,250.0,252.0,246.0,248.0,248.0,30540800
2021-03-17,250.0,258.0,248.0,254.0,254.0,89720500
2021-03-18,256.0,258.0,252.0,254.0,254.0,27698100
2021-03-19,254.0,254.0,248.0,250.0,250.0,28164500
2021-03-22,250.0,250.0,244.0,246.0,246.0,25109600
2021-03-23,246.0,248.0,242.0,242.0,242.0,35632400
2021-03-24,246.0,248.0,236.0,240.0,240.0,45098700
2021-03-25,240.0,242.0,230.0,234.0,234.0,55420300
2021-03-26,234.0,240.0,230.0,238.0,238.0,43951500
2021-03-29,238.0,240.0,230.0,230.0,230.0,28946500
2021-03-30,230.0,232.0,214.0,218.0,218.0,96309900
2021-03-31,218.0,222.0,210.0,212.0,212.0,66607900
2021-04-01,214.0,216.0,204.0,212.0,212.0,41673800
2021-04-05,210.0,212.0,198.0,198.0,198.0,173853400
2021-04-06,198.0,200.0,185.0,200.0,200.0,307578800
2021-04-07,199.0,199.0,188.0,195.0,195.0,161424700
2021-04-08,196.0,202.0,191.0,199.0,199.0,91568200
2021-04-09,200.0,208.0,197.0,200.0,200.0,95813600
2021-04-12,200.0,200.0,189.0,190.0,190.0,40993800
2021-04-14,188.0,195.0,188.0,195.0,195.0,56320500
