Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,350.0,364.0,348.0,362.0,362.0,32304500
2021-03-02,366.0,366.0,352.0,354.0,354.0,20678500
2021-03-03,354.0,358.0,350.0,352.0,352.0,9290300
2021-03-04,352.0,354.0,344.0,350.0,350.0,11624900
2021-03-05,350.0,356.0,346.0,352.0,352.0,11625300
2021-03-08,354.0,356.0,346.0,350.0,350.0,7477300
2021-03-09,350.0,356.0,344.0,346.0,346.0,11954300
2021-03-10,348.0,350.0,334.0,336.0,336.0,26495300
2021-03-12,340.0,346.0,338.0,340.0,340.0,11276500
2021-03-15,342.0,352.0,342.0,348.0,348.0,11391500
2021-03-16,350.0,358.0,348.0,352.0,352.0,13986300
2021-03-17,352.0,360.0,352.0,356.0,356.0,25590700
2021-03-18,358.0,360.0,352.0,354.0,354.0,14248700
2021-03-19,354.0,358.0,350.0,350.0,350.0,9072800
2021-03-22,352.0,352.0,346.0,348.0,348.0,6315300
2021-03-23,350.0,350.0,344.0,346.0,346.0,7791700
2021-03-24,346.0,350.0,340.0,342.0,342.0,8069300
2021-03-25,342.0,344.0,332.0,334.0,334.0,11684000
2021-03-26,342.0,344.0,336.0,344.0,344.0,4231500
2021-03-29,344.0,344.0,334.0,334.0,334.0,6158900
2021-03-30,336.0,340.0,318.0,320.0,320.0,14861400
2021-03-31,318.0,326.0,308.0,314.0,314.0,15706600
2021-04-01,314.0,322.0,312.0,320.0,320.0,5390100
2021-04-05,320.0,320.0,298.0,298.0,298.0,22013800
2021-04-06,298.0,308.0,286.0,308.0,308.0,14509300
2021-04-07,304.0,308.0,296.0,302.0,302.0,6986900
2021-04-08,302.0,308.0,300.0,306.0,306.0,7071000
2021-04-09,306.0,318.0,306.0,310.0,310.0,8719000
2021-04-12,310.0,314.0,298.0,298.0,298.0,9099000
2021-04-14,294.0,300.0,294.0,298.0,298.0,5931100
