Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,126.0,144.0,125.0,131.0,131.0,91418400
2021-03-02,132.0,135.0,122.0,123.0,123.0,44258800
2021-03-03,123.0,127.0,115.0,116.0,116.0,26179900
2021-03-04,116.0,116.0,108.0,108.0,108.0,9660000
2021-03-05,105.0,129.0,101.0,109.0,109.0,77461200
2021-03-08,109.0,119.0,109.0,113.0,113.0,16976900
2021-03-09,116.0,121.0,106.0,108.0,108.0,21010400
2021-03-10,108.0,111.0,107.0,109.0,109.0,4440500
2021-03-12,110.0,117.0,110.0,112.0,112.0,9832400
2021-03-15,105.0,117.0,105.0,110.0,110.0,4214700
2021-03-16,110.0,114.0,105.0,108.0,108.0,7096700
2021-03-17,105.0,109.0,103.0,103.0,103.0,4926300
2021-03-18,101.0,114.0,101.0,108.0,108.0,14793800
2021-03-19,108.0,110.0,104.0,109.0,109.0,4506600
2021-03-22,109.0,111.0,106.0,107.0,107.0,4782000
2021-03-23,106.0,108.0,104.0,105.0,105.0,4663800
2021-03-24,101.0,106.0,101.0,104.0,104.0,4464000
2021-03-25,101.0,112.0,101.0,106.0,106.0,16003700
2021-03-26,99.0,108.0,99.0,103.0,103.0,2941500
2021-03-29,103.0,104.0,98.0,98.0,98.0,3988500
2021-03-30,100.0,100.0,92.0,92.0,92.0,7523700
2021-03-31,92.0,92.0,86.0,86.0,86.0,2076000
2021-04-01,80.0,92.0,80.0,85.0,85.0,10609300
2021-04-05,85.0,88.0,81.0,82.0,82.0,2557500
2021-04-06,79.0,100.0,79.0,87.0,87.0,15985100
2021-04-07,87.0,90.0,86.0,86.0,86.0,2715100
2021-04-08,82.0,95.0,82.0,94.0,94.0,7414600
2021-04-09,90.0,95.0,90.0,91.0,91.0,3912500
2021-04-12,91.0,94.0,89.0,92.0,92.0,1523800
2021-04-14,97.0,115.0,97.0,110.0,110.0,35102600
