Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,635.0,635.0,635.0,635.0,635.0,0
2021-03-02,595.0,595.0,595.0,595.0,595.0,4100
2021-03-03,595.0,595.0,555.0,555.0,555.0,6800
2021-03-04,555.0,555.0,520.0,520.0,520.0,1400
2021-03-05,515.0,640.0,484.0,620.0,620.0,57700
2021-03-08,620.0,620.0,580.0,580.0,580.0,3300
2021-03-09,540.0,540.0,540.0,540.0,540.0,1800
2021-03-10,505.0,505.0,505.0,505.0,505.0,5100
2021-03-12,470.0,470.0,470.0,470.0,470.0,8300
2021-03-15,440.0,550.0,438.0,550.0,550.0,19500
2021-03-16,515.0,520.0,515.0,515.0,515.0,9500
2021-03-17,515.0,515.0,480.0,480.0,480.0,3000
2021-03-18,480.0,480.0,480.0,480.0,480.0,300
2021-03-19,480.0,480.0,480.0,480.0,480.0,100
2021-03-22,480.0,480.0,480.0,480.0,480.0,100
2021-03-23,460.0,460.0,450.0,450.0,450.0,800
2021-03-24,452.0,452.0,450.0,450.0,450.0,2100
2021-03-25,430.0,430.0,430.0,430.0,430.0,300
2021-03-26,430.0,430.0,402.0,402.0,402.0,600
2021-03-29,382.0,500.0,374.0,500.0,500.0,13900
2021-03-30,550.0,620.0,466.0,466.0,466.0,133300
2021-03-31,466.0,466.0,434.0,436.0,436.0,19400
2021-04-01,436.0,440.0,410.0,410.0,410.0,4000
2021-04-05,390.0,510.0,382.0,390.0,390.0,18700
2021-04-06,390.0,486.0,390.0,486.0,486.0,75100
2021-04-07,486.0,570.0,466.0,466.0,466.0,42900
2021-04-08,466.0,550.0,436.0,520.0,520.0,8800
2021-04-09,490.0,580.0,484.0,484.0,484.0,15700
2021-04-12,480.0,484.0,472.0,480.0,480.0,1700
2021-04-14,446.0,446.0,444.0,444.0,444.0,5600
