Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,53.0,75.0,53.0,68.0,68.0,14673600
2021-03-02,68.0,73.0,64.0,64.0,64.0,3310600
2021-03-03,64.0,64.0,60.0,61.0,61.0,995000
2021-03-04,61.0,65.0,61.0,63.0,63.0,1619200
2021-03-05,63.0,63.0,59.0,60.0,60.0,651400
2021-03-08,61.0,80.0,57.0,68.0,68.0,11957100
2021-03-09,68.0,85.0,64.0,79.0,79.0,9679900
2021-03-10,79.0,106.0,79.0,106.0,106.0,21260800
2021-03-12,112.0,143.0,112.0,143.0,143.0,57649600
2021-03-15,155.0,193.0,140.0,176.0,176.0,122060900
2021-03-16,188.0,188.0,164.0,172.0,172.0,25565800
2021-03-17,170.0,170.0,160.0,164.0,164.0,7588600
2021-03-18,164.0,185.0,153.0,181.0,181.0,25086800
2021-03-19,183.0,244.0,180.0,244.0,244.0,75071100
2021-03-22,250.0,304.0,250.0,304.0,304.0,65282600
2021-03-23,334.0,380.0,304.0,380.0,380.0,99619200
2021-03-24,400.0,458.0,374.0,406.0,406.0,77266600
2021-03-25,412.0,440.0,380.0,392.0,392.0,23318200
2021-03-26,392.0,406.0,368.0,400.0,400.0,9941200
2021-03-29,420.0,420.0,372.0,380.0,380.0,36576000
2021-03-30,380.0,466.0,354.0,436.0,436.0,36846500
2021-03-31,440.0,446.0,406.0,434.0,434.0,7741400
2021-04-01,434.0,540.0,426.0,540.0,540.0,30018200
2021-04-05,540.0,540.0,540.0,540.0,540.0,0
2021-04-06,560.0,675.0,560.0,675.0,675.0,20870700
2021-04-07,710.0,840.0,700.0,840.0,840.0,9637200
2021-04-08,840.0,840.0,840.0,840.0,840.0,0
2021-04-09,840.0,840.0,840.0,840.0,840.0,0
2021-04-12,840.0,840.0,840.0,840.0,840.0,0
