Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,426.0,432.0,426.0,432.0,432.0,132600
2021-03-02,432.0,434.0,432.0,432.0,432.0,141500
2021-03-03,432.0,432.0,430.0,430.0,430.0,20400
2021-03-04,430.0,432.0,430.0,432.0,432.0,106200
2021-03-05,432.0,432.0,430.0,430.0,430.0,65500
2021-03-08,430.0,430.0,426.0,430.0,430.0,32300
2021-03-09,430.0,430.0,430.0,430.0,430.0,75000
2021-03-10,430.0,430.0,430.0,430.0,430.0,67500
2021-03-12,426.0,426.0,424.0,426.0,426.0,1400
2021-03-15,426.0,426.0,422.0,426.0,426.0,95800
2021-03-16,426.0,428.0,424.0,426.0,426.0,39200
2021-03-17,426.0,426.0,424.0,426.0,426.0,71700
2021-03-18,426.0,428.0,426.0,428.0,428.0,81200
2021-03-19,428.0,430.0,428.0,428.0,428.0,86700
2021-03-22,428.0,430.0,428.0,428.0,428.0,118200
2021-03-23,426.0,430.0,418.0,428.0,428.0,86900
2021-03-24,428.0,428.0,428.0,428.0,428.0,105100
2021-03-25,428.0,428.0,426.0,428.0,428.0,93000
2021-03-26,428.0,430.0,428.0,430.0,430.0,107200
2021-03-29,430.0,430.0,430.0,430.0,430.0,37600
2021-03-30,430.0,430.0,428.0,430.0,430.0,144700
2021-03-31,432.0,432.0,430.0,430.0,430.0,113000
2021-04-01,430.0,436.0,430.0,434.0,434.0,206000
2021-04-05,430.0,434.0,428.0,434.0,434.0,121700
2021-04-06,434.0,440.0,434.0,440.0,440.0,208500
2021-04-07,440.0,442.0,434.0,440.0,440.0,128400
2021-04-08,440.0,440.0,436.0,438.0,438.0,96000
2021-04-09,438.0,442.0,438.0,442.0,442.0,249700
2021-04-12,440.0,440.0,438.0,438.0,438.0,103600
2021-04-14,430.0,434.0,416.0,434.0,434.0,140600
